id	pollster	언론매체	제목	date	범위	링크	조사 시작	enddate	조사방법	ARS/전화면접	후보자수	양자구도	삼자구도	다자구도	민주당 관련	전체응답률	가중치	나이	나이2	BanKiMoon	MoonJaeIn	AhnCheolSoo	AhnHeeJeong	HwangGyoAhn	LeeJaeMyung	YooSeungMin	남경필	손학규	박원순	김부겸	심상정	홍준표	이인제	원희룡	정운찬	김문수	오세훈	김무성	천정배	김관용	김종인	정동영	유시민	김제동
3055	리얼미터	매일경제·MBN ‘레이더P’ 	전국 정례조사 2016년 9월 2일 일간집계	2016-09-02	전국	http://www.nesdc.go.kr/result/201702/FILE_201609021026303730.pdf.htm	160901	160902	유무선스마트폰앱혼합	ARS/전화면접	13	0	0	1	2	10.4	1.1	3		22.9	21.5	9.8		2.8	2.9		1.2	4.3	4.7	1.7		1.5		1.7			6.5	2.9						
3056	리얼미터	매일경제·MBN ‘레이더P’ 	전국 정례조사 2016년 9월 1일 일간집계	2016-09-02	전국	http://www.nesdc.go.kr/result/201702/FILE_201609020927028720.pdf.htm	160831	160901	유무선스마트폰앱혼합	ARS/전화면접	13	0	0	1	2	10.4	1.04	5		21.7	18.1	10.4		3.2	3.2		1.9	4.3	6.4	2.5		2.3		1.5			5.5	3.3						
3058	알앤써치	(주)데일리안	전국 정기조사 정당지지율조사 알앤써치바로미터9월1주차	2016-09-06	전국	http://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=3058&regNo=3058&searchCnd=&searchWrd=&gubun=&delCode=0&delcode=0&useAt=&replyAt=&menuNo=200467&sdate=&edate=&pdate=&deptId=&isk=&ise=&viewType=&pollGubuncd=&categories=&searchKey=&searchTime=&searchCode=&searchDecision=&pageIndex=41	160904	160906	유무선혼합	ARS	12	0	0	1	3	3.2	2.08	3		23.1	18	11.1	4.1	2.2	3.6		2		3.5	2.4				0.3			4.7	5.2						
3059	리얼미터	매일경제·MBN ‘레이더P’ 	전국 정례조사 2016년 9월 5일 일간집계 	2016-09-07	전국	http://www.nesdc.go.kr/result/201702/FILE_201609070415428690.pdf.htm	160902	160905	유무선스마트폰앱혼합	ARS/전화면접	13	0	0	1	2	10.5	1.03	3		21.1	19.7	9.7		3.5	3.2		1.8	4.7	7.2	1.9		1.1		1.2			5.5	3.5						
3060	리얼미터	매일경제·MBN ‘레이더P’ 	전국 정례조사 2016년 9월 6일 일간집계 	2016-09-07	전국	http://www.nesdc.go.kr/result/201702/FILE_201609070313186300.pdf.htm	160905	160906	유무선스마트폰앱혼합	ARS/전화면접	14	0	0	1	3	10.5	1.12	5		21.1	17.8	10.5	2.3	3.5	3.2		1.9	4	8.1	2.1		1.6		1			4.7	3.9						
3061	리얼미터	매일경제·MBN ‘레이더P’ 	전국 정례조사 2016년 9월 7일 일간집계 	2016-09-07	전국	http://www.nesdc.go.kr/result/201702/FILE_201609070709024350.pdf.htm	160906	160907	유무선스마트폰앱혼합	ARS/전화면접	14	0	0	1	3	10.4	1.12	5		21.5	16.8	10.5	3.3	2.3	4.5		2.2	3.9	6.1	3.7		1.9		1.1			4	3.9						
3062	리얼미터	매일경제·MBN ‘레이더P’ 	전국 정례조사 2016년 9월 1주 주중집계	2016-09-07	전국	http://www.nesdc.go.kr/result/201702/FILE_201609070711044670.pdf.htm	160905	160907	유무선스마트폰앱혼합	ARS/전화면접	14	0	0	1	3	10.5	1.15	5		21.1	17.3	10.4	2.9	3	3.8		2.1	4.2	7.3	2.9		1.6		1			4.4	4						
3066	리얼미터	매일경제·MBN ‘레이더P’ 	전국 정례조사 2016년 9월 8일 일간집계	2016-09-09	전국	http://www.nesdc.go.kr/result/201702/FILE_201609091107146240.pdf.htm	160907	160908	유무선스마트폰앱혼합	ARS/전화면접	14	0	0	1	3	10.5	1.07	3		24.6	18.5	10.9	4	2.7	3.5		1.5	4.7	4.4	3		1.2		1			2.5	4.5						
3067	리얼미터	매일경제·MBN ‘레이더P’ 	전국 정례조사 2016년 9월 9일 일간집계	2016-09-09	전국	http://www.nesdc.go.kr/result/201702/FILE_201609090616461870.pdf.htm	160908	160909	유무선스마트폰앱혼합	ARS/전화면접	14	0	0	1	3	10.5	1.11	4		25.2	18.8	10.3	3.4	3.3	3.7		1	3.9	3.7	2.1		0.8		0.6			4.8	4.7						
3068	리얼미터	매일경제·MBN ‘레이더P’ 	전국 정례조사 2016년 9월 1주 주간집계	2016-09-09	전국	http://www.nesdc.go.kr/result/201702/FILE_201609090634423030.pdf.htm	160905	160909	유무선스마트폰앱혼합	ARS/전화면접	13	0	0	1	2	10.5	2.26	2		22.8	18	10.4		3.1	3.7		1.7	4.2	5.9	2.6		1.3		0.9			4.2	4.3						
3070	리얼미터	매일경제·MBN ‘레이더P’ 	전국 정례조사 2016년 9월 12일 일간집계	2016-09-12	전국	http://www.nesdc.go.kr/result/201702/FILE_201609130134030960.pdf.htm	160909	160912	유무선스마트폰앱혼합	ARS/전화면접	14	0	0	1	3	10.3	1.07	4		27.1	18	9.4	3.2	3.9	4.4		1.2	3.7	5.8	2.1		0.8		0.7			3.9	3.6						
3071	리얼미터	매일경제·MBN ‘레이더P’ 	전국 정례조사 2016년 9월 13일 일간집계	2016-09-12	전국	http://www.nesdc.go.kr/result/201702/FILE_201609130640470540.pdf.htm	160912	160913	유무선스마트폰앱혼합	ARS/전화면접	14	0	0	1	3	10.2	1.02	3		24.8	19.4	10.2	3.1	3.5	5.4		1.4	3.1	5.9	2.3		0.8		1.1			3.8	4						
3072	리얼미터	매일경제·MBN ‘레이더P’ 	전국 정례조사 2016년 9월 2주 주간집계 	2016-09-12	전국	http://www.nesdc.go.kr/result/201702/FILE_201609130638200330.pdf.htm	160912	160913	유무선스마트폰앱혼합	ARS/전화면접	14	0	0	1	3	10.2	1.02	3		25.7	19	10	3.1	3.7	5.1		1.3	3.3	6.2	2.2		0.8		1			3.5	3.8						
3074	TNS KOREA	SBS	전국 정례조사 SBS 여론조사(정치분야)	2016-09-13	전국	http://www.nesdc.go.kr/result/201702/FILE_201609131111285991.pdf.htm	160911	160912	유무선혼합	ARS	12	0	0	1	2	10.7	1.02	2	3	21.5	14.8	6.9	3.2	2.1			0.5	2.1	4.5	1.4						1	3.4	2.5						
3077	알앤써치	(주)데일리안	전국 정기조사 정당지지율조사 알앤써치바로미터9월2주차	2016-09-13	전국	http://www.nesdc.go.kr/result/201702/FILE_201609191122260640.pdf.htm	160911	160912	유무선혼합	ARS	12	0	0	1	3	3.1	1.71	3		22.1	19.6	8	3.8	2.8	6.6		2	1.9	6.4	2.7							4.1	6.5						
3078	리얼미터	국민일보	"전국 대통령선거 정당, 차기대선"	2016-09-18	전국	http://www.nesdc.go.kr/result/201702/FILE_201609200346041491.pdf.htm	160918	160918	유무선스마트폰앱혼합	ARS	14	0	0	1	3	7.6	1.45	2		25.9	18.2	10.8	4.1	1.9	4.9		1.5	3.2	6.2	2.9		1.6		2.1			4.3	5.2						
3079	알앤써치	(주)데일리안	전국 정기조사 정당지지율조사 알앤써치바로미터9월3주차	2016-09-20	전국	http://www.nesdc.go.kr/result/201702/FILE_201609200346041491.pdf.htm	160918	160919	유무선혼합	ARS	12	0	0	1	3	3.2	1.51	2	3	28.6	19.3	6.9	2.5	1.8	6		1	3.5	5	2.8							3.4	5.5						
3080	리얼미터	매일경제·MBN ‘레이더P’ 	전국 정례조사 2016년 9월 19일 일간집계	2016-09-21	전국	http://www.nesdc.go.kr/result/201702/FILE_201609211127437930.pdf.htm	160918	160919	유무선스마트폰앱혼합	ARS/전화면접	14	0	0	1	3	8.9	1.07	4		25.4	18.1	10.4	4.3	2.2	4.7		1	4.2	5.3	3.6		1.4		1.5			3.9	4.6						
3081	리얼미터	매일경제·MBN ‘레이더P’ 	전국 정례조사 2016년 9월 20일 일간집계	2016-09-21	전국	http://www.nesdc.go.kr/result/201702/FILE_201609210707494370.pdf.htm	160919	160920	유무선스마트폰앱혼합	ARS/전화면접	14	0	0	1	3	10.5	1.13	5		24.2	17.1	10.4	3	3.5	5.5		2.3	4.4	5.2	2.8		1.6		1.3			3.6	3.9						
3082	리얼미터	매일경제·MBN ‘레이더P’ 	전국 정례조사 2016년 9월 21일 일간집계	2016-09-21	전국	http://www.nesdc.go.kr/result/201702/FILE_201609210707494370.pdf.htm	160920	160921	유무선스마트폰앱혼합	ARS/전화면접	14	0	0	1	3	10.4	1.14	5		22.2	17.6	11.6	4.1	3.3	4.9		2	3.4	5.8	1.9		1.4		1			4.6	3.4						
3083	리얼미터	매일경제·MBN ‘레이더P’ 	전국 정례조사 2016년 9월 3주 주중집계	2016-09-21	전국	http://www.nesdc.go.kr/result/201702/FILE_201609210750549080.pdf.htm	160919	160921	유무선스마트폰앱혼합	ARS/전화면접	14	0	0	1	3	10.5	1.11	5		22.2	18.9	9.3	3.8	3.2	5.3		1.8	4	6.4	2.6		1.5		1.1			4.2	3.7						
3085	조원씨앤아이	돌직구뉴스	전국 정례조사 정당지지도	2016-09-22	전국	http://www.nesdc.go.kr/result/201702/FILE_201609220938032041.pdf.htm	160919	160921	유무선혼합	ARS	8	0	0	1	2	2.8	1.88	2		23.7	18.5	10.3	3.6	2.4					6								2.7	6.9						
3087	리얼미터	매일경제·MBN ‘레이더P’ 	전국 정례조사 2016년 9월 22일 일간집계	2016-09-23	전국	http://www.nesdc.go.kr/result/201702/FILE_201609231120511570.pdf.htm	160921	160922	유무선스마트폰앱혼합	ARS/전화면접	14	0	0	1	3	10.4	1.02	4	5	24.1	18.2	9.5	3.8	2.8	5		2.5	3.8	7.6	2.1		0.8		1.3			3.5	3.7						
3088	리얼미터	매일경제·MBN ‘레이더P’ 	전국 정례조사 2016년 9월 23일 일간집계	2016-09-23	전국	http://www.nesdc.go.kr/result/201702/FILE_201609230624487880.pdf.htm	160922	160923	유무선스마트폰앱혼합	ARS/전화면접	14	0	0	1	3	10.3	1.05	6		23.7	20.6	9.4	3.4	2.3	5.4		2.6	3.4	6.5	2.3		1.2		1.2			3.1	3.8						
3089	리얼미터	매일경제·MBN ‘레이더P’ 	전국 정례조사 2016년 9월 3주 주간집계	2016-09-23	전국	http://www.nesdc.go.kr/result/201702/FILE_201609230703261930.pdf.htm	160919	160923	유무선스마트폰앱혼합	ARS/전화면접	14	0	0	1	3	10.4	1.05	5	6	23.7	18.5	10.3	3.6	2.3	5.4		2.6	3.4	6	2.3		1.2		1.1			3.7	3.8						
3091	중앙일보 조사연구팀	중앙일보	전국 대통령선거 	2016-09-25	전국	http://www.nesdc.go.kr/result/201702/FILE_201609270458087410.pdf.htm	160920	160921	유무선혼합	전화면접	8	0	0	1	2	20.9	1.23	2		32.7	17.3	8.1			2.7			3.2	4.2								3.7	3.9						
3094	리얼미터	매일경제·MBN ‘레이더P’ 	전국 정례조사 2016년 9월 26일 일간집계	2016-09-28	전국	http://www.nesdc.go.kr/result/201702/FILE_201609281034565290.pdf.htm	160923	160926	유무선스마트폰앱혼합	ARS/전화면접	14	0	0	1	3	10.5	1.08	3		26.6	21.1	8.8	4.5	2.9	4.5		1.7	2.5	4.6	1.4		1.7		1.2			4.1	3						
3095	리얼미터	매일경제·MBN ‘레이더P’ 	전국 정례조사 2016년 9월 27일 일간집계	2016-09-28	전국	http://www.nesdc.go.kr/result/201702/FILE_201609281036021370.pdf.htm	160926	160927	유무선스마트폰앱혼합	ARS/전화면접	14	0	0	1	3	10.4	1.11	4		28.6	18.8	8.5	4.6	3.1	3.9		1.3	2.2	3.4	1.3		1.5		1.2			5.2	3.6						
3096	리얼미터	매일경제·MBN ‘레이더P’ 	전국 정례조사 2016년 9월 28일 일간집계	2016-09-28	전국	http://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=3096&regNo=3096&searchCnd=&searchWrd=&gubun=&delCode=0&delcode=0&useAt=&replyAt=&menuNo=200467&sdate=&edate=&pdate=&deptId=&isk=&ise=&viewType=&pollGubuncd=&categories=&searchKey=&searchTime=&searchCode=&searchDecision=&pageIndex=29	160927	160928	유무선스마트폰앱혼합	ARS/전화면접	14	0	0	1	3	10.3	1.24	6		25.7	17.6	9.6	4.6	3	4.2		1	3.3	6.3	2.2		1.8		1.8			5.9	3.4						
3097	리얼미터	매일경제·MBN ‘레이더P’ 	전국 정례조사 2016년 9월 4주 주중집계	2016-09-28	전국	http://www.nesdc.go.kr/result/201702/FILE_201609281039251200.pdf.htm	160926	160928	유무선스마트폰앱혼합	ARS/전화면접	14	0	0	1	3	10.5	1.07	6		27.1	18.8	9	4.7	3.1	4.1		1.2	2.7	5	1.6		1.7		1.5			5.4	3.2						
3100	리얼미터	매일경제·MBN ‘레이더P’ 	전국 정례조사 2016년 9월 4주 주간집계	2016-09-30	전국	http://www.nesdc.go.kr/result/201702/FILE_201610011131044020.pdf.htm	160926	160930	유무선스마트폰앱혼합	ARS/전화면접	14	0	0	1	3	10.3	1.08	5		26.8	18.4	9.7	4.8	3.1	3.8		1.3	3.1	4.9	1.5		1.2		1.4			4.7	3.5						
3101	리얼미터	매일경제·MBN ‘레이더P’ 	전국 정례조사 2016년 9월 30일 일간집계	2016-09-30	전국	http://www.nesdc.go.kr/result/201702/FILE_201610011128091110.pdf.htm	160929	160930	유무선스마트폰앱혼합	ARS/전화면접	14	0	0	1	3	10.6	1.08	5		26.4	17.9	10.9	5.3	3.2	3.5		1.5	3.2	4.9	1.2		1.3		0.9			3.7	3.6						
3102	리얼미터	매일경제·MBN ‘레이더P’ 	전국 정례조사 2016년 9월 29일 일간집계	2016-09-30	전국	http://www.nesdc.go.kr/result/201702/FILE_201609301235424760.pdf.htm	160928	160929	유무선스마트폰앱혼합	ARS/전화면접	14	0	0	1	3	10.9	1.19	5		25.5	18	10.3	3.8	2.7	3.6		1.3	4.3	5.6	2		2		1.9			4.5	4.1						
3105	리얼미터	매일경제·MBN ‘레이더P’ 	전국 정례조사 2016년 10월 4일 일간집계	2016-10-05	전국	http://www.nesdc.go.kr/result/201702/FILE_201610050321399890.pdf.htm	160930	161004	유무선스마트폰앱혼합	ARS/전화면접	14	0	0	1	3	10.4	1.14	3		24.3	16.5	11.8	5.2	2.4	5.1		1.8	2.9	4.6	1.1		2.3		0.6			5.2	3.2						
3106	리얼미터	매일경제·MBN ‘레이더P’ 	전국 정례조사 2016년 10월 5일 일간집계	2016-10-05	전국	http://www.nesdc.go.kr/result/201702/FILE_201610050321399890.pdf.htm	161004	161005	유무선스마트폰앱혼합	ARS/전화면접	14	0	0	1	3	10.6	1.03	3		23.3	17.1	10.8	4.9	2.5	5		1.3	3.8	5.1	1		2.4		0.7			6	3.7						
